"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"24",7.96731320363819e-07,4.13943592747349e-07,2.76035515909543e-07,4.42883862681987e-07,4.47611358220599e-07,3.36292210318981e-07,1.17587076990777e-07,9.35496869780868e-08,8.26596309664534e-08,9.28280596512026e-08,5.6089054553125e-08,5.84871687243586e-08,5.53042814926412e-08,3.63298757185214e-08,3.31405466304751e-08,5.42372796470693e-08,4.17592274254222e-08,3.5207094909877e-08,4.41181620676263e-08,4.72022439560623e-08,4.13098210262019e-08,4.50038994249513e-08,1.05879530987697e-07,1.11170831619099e-07,1.47183295127285e-07,6.2069162151902e-08,4.13189505878829e-08,4.11870935436204e-08,3.27611179746997e-08,3.49148515760451e-08,3.86770454141657e-08,3.8050170217371e-08
"25",7.93093423597314e-07,4.11643738907417e-07,2.75100021833972e-07,4.3842566289222e-07,4.42901121850037e-07,3.42220025250854e-07,1.16239776235821e-07,9.96135534615095e-08,7.63771140871181e-08,8.95424644126159e-08,4.62748426201133e-08,5.68952011817358e-08,5.49461741347887e-08,3.73904185680771e-08,3.06604423124288e-08,5.16346210527982e-08,4.13720249693701e-08,3.3771894182977e-08,4.03639552477254e-08,4.56938410080814e-08,3.65701813457671e-08,4.39892353236439e-08,1.01138682349407e-07,1.08102267868028e-07,1.43114582200588e-07,6.42727168203186e-08,3.61858421895914e-08,4.0076632140171e-08,2.54310756040675e-08,3.19207097344916e-08,3.4019668030537e-08,3.37365719895424e-08
"26",7.92884743934721e-07,4.05095352019968e-07,2.79122075365404e-07,4.3366545418487e-07,4.36119891464001e-07,3.45275852224712e-07,1.14234084140899e-07,9.51856013040787e-08,7.25994797656389e-08,9.08736062930989e-08,4.33055176569657e-08,5.31793120572052e-08,5.46829287162284e-08,3.79928884998036e-08,2.92322873622953e-08,4.97927618327302e-08,3.99092105323007e-08,3.05427814023984e-08,3.76897803261187e-08,4.23548295745984e-08,3.22247702799257e-08,4.3060314128467e-08,9.87426360595213e-08,1.03787130952175e-07,1.39571839253543e-07,6.65671432457208e-08,3.34790806444219e-08,3.90752319657654e-08,2.41032831304394e-08,3.03475661771949e-08,2.91639344113908e-08,3.20233172184919e-08
"27",7.93376946662862e-07,4.00307830408457e-07,2.79301779389239e-07,4.33987047627764e-07,4.29268575508658e-07,3.44542961788063e-07,1.06189147157625e-07,9.28665451109098e-08,7.18835797416407e-08,8.88914234578306e-08,4.21852991620011e-08,4.94577158820463e-08,5.2861023271529e-08,3.77211769382198e-08,2.80048852419493e-08,4.68108100802287e-08,3.7692940881831e-08,2.82443827533882e-08,3.55682954150324e-08,4.02697856855096e-08,3.23665199449363e-08,4.27773447195912e-08,9.52588723243031e-08,1.02121823625553e-07,1.37764947129768e-07,6.94984414279799e-08,3.27423823772518e-08,3.78816922138091e-08,2.41536722504856e-08,2.88382230686843e-08,2.80073826209271e-08,3.04632844324709e-08
"28",7.8701083922323e-07,4.00645497461718e-07,2.79281409375123e-07,4.32127728129698e-07,4.26691983693333e-07,3.42449179890423e-07,1.02829903266929e-07,8.99214909331619e-08,6.99422840355514e-08,8.80223239629992e-08,4.02900823920323e-08,4.63594304236954e-08,5.14472154818537e-08,3.93571229134886e-08,2.77959869957726e-08,4.28437521388629e-08,3.80139476011112e-08,2.54068696160161e-08,3.32629190303764e-08,3.9193424348199e-08,3.27699466982172e-08,4.00426944553517e-08,9.29621230349711e-08,1.00220872814714e-07,1.33036751177011e-07,7.07593609834651e-08,3.22620032933774e-08,3.77241640989159e-08,2.31270580892219e-08,2.87185919872736e-08,2.45218661512456e-08,2.76125581406929e-08
"29",7.85684393331571e-07,3.98151514567566e-07,2.83533509853152e-07,4.30845183552579e-07,4.18951752319514e-07,3.4549350453867e-07,1.00704187228997e-07,8.90842003317525e-08,7.09011867706783e-08,8.83648350111735e-08,3.93661655481465e-08,4.62282495745485e-08,5.04073514170082e-08,4.07109349484177e-08,2.68878419013895e-08,4.25008581221085e-08,3.7396046494181e-08,2.69147771404396e-08,3.59030383952814e-08,4.15540819374853e-08,3.49846433730668e-08,3.70798194615921e-08,8.89509919610967e-08,9.69614068294872e-08,1.26259379164956e-07,7.63234025441887e-08,3.3691368427944e-08,3.61117500886408e-08,2.3975327770692e-08,3.09979307814862e-08,2.47061490735414e-08,2.68915684992121e-08
"30",7.88065640360708e-07,4.02253577694954e-07,2.81813753228591e-07,4.30222742731127e-07,4.15965203834272e-07,3.49418067363946e-07,9.43064938258638e-08,8.72927969173062e-08,6.66709515637694e-08,8.67129668473668e-08,4.18688561701969e-08,4.71995437981508e-08,5.0742275955358e-08,4.35325449672258e-08,2.76900408857604e-08,3.81853923809198e-08,3.50318022152029e-08,3.05323272661947e-08,3.56354107093278e-08,4.21713957546742e-08,3.68645560122947e-08,3.67778773394902e-08,8.48372492066885e-08,9.51802280809748e-08,1.19726537397002e-07,8.02592260442327e-08,3.5910916720154e-08,3.68626811022727e-08,2.47059260453677e-08,3.23394813986716e-08,2.48512877824567e-08,2.69547266788895e-08
"31",7.88846360243042e-07,4.06989675765088e-07,2.82423995526629e-07,4.30603950566897e-07,4.1589709697157e-07,3.52748798740157e-07,9.11672008646994e-08,8.58848936417524e-08,6.08017539757554e-08,8.78740131072334e-08,4.43440738651103e-08,4.71545646640359e-08,5.13785233000053e-08,4.45758526687236e-08,2.90371042276264e-08,3.72788623161016e-08,3.65398417803706e-08,3.18224281263624e-08,3.19069193310294e-08,4.37718301417747e-08,3.67199207787423e-08,3.5958645444799e-08,8.55292033535267e-08,9.46765029098854e-08,1.12185153245724e-07,8.07631391495164e-08,3.63461874243016e-08,3.76150916227572e-08,2.69430037992396e-08,3.35322740424891e-08,2.5017582459105e-08,2.93172966625504e-08
"32",7.86405526736988e-07,4.15095100550196e-07,2.85433472818876e-07,4.36904316166214e-07,4.13092546980337e-07,3.50480450470705e-07,8.8071070129303e-08,8.24603194567165e-08,6.21492228625551e-08,9.03837162868543e-08,4.59183728038611e-08,4.61859591952573e-08,5.17456907195307e-08,4.61488726635464e-08,3.01510085720883e-08,3.76559193639047e-08,3.71147676719488e-08,3.38590418635616e-08,3.00816765569399e-08,4.4362417284969e-08,3.92937161900608e-08,3.41938557489628e-08,8.39193954410284e-08,9.48303285085792e-08,1.05465717361066e-07,7.68735434966614e-08,3.74037428728886e-08,3.80277666757913e-08,2.73524110541392e-08,3.23309666290767e-08,2.70979847054266e-08,2.95017053871258e-08
"33",7.7726974676115e-07,4.24339764477919e-07,2.79993551452226e-07,4.46223655763666e-07,4.15671478260931e-07,3.47393466941016e-07,8.35464834068994e-08,8.21712085933168e-08,5.98845158206492e-08,9.26823302845508e-08,4.60474105644557e-08,4.51587382293605e-08,5.03836565208348e-08,4.62626332751501e-08,2.93315939753719e-08,3.68786205544689e-08,3.73683616942171e-08,3.41810897112674e-08,2.69221912221943e-08,4.65616051548108e-08,4.09728059129621e-08,3.23376729789316e-08,8.2069459442143e-08,9.78453550448555e-08,1.00847290543032e-07,7.40218105415524e-08,3.81409862780597e-08,3.73858784868331e-08,2.68013494534451e-08,3.48053098013541e-08,2.79094418466935e-08,2.85867363304649e-08
